name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
Alisson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RB,90.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,13.0,7.0,53.8,5.0,3.0,5.0,2.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RB,90.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,16.0,3.0,18.8,9.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,
Trent Alexander-Arnold,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RB,90.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,
Trent Alexander-Arnold,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,21.4,3.0,9.0,2.0,3.0,0.0,0.0,3.0,5.0,5.0,1.0,0.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,RB,90.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,100.0,0.0,9.0,4.0,44.4,5.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,8.0,2.0,0.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RB,64.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,
Trent Alexander-Arnold,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RB,90.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,6.0,4.0,66.7,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,
Trent Alexander-Arnold,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,
Trent Alexander-Arnold,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RB,90.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,8.0,5.0,62.5,4.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,1.0,0.0,
Trent Alexander-Arnold,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RB,90.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,7.0,4.0,57.1,0.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Trent Alexander-Arnold,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RB,90.0,2.0,1.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,15.0,5.0,33.3,5.0,3.0,7.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,
Trent Alexander-Arnold,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,14.3,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,
Jordan Henderson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y*,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,3.0,33.3,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y*,CM,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,1.0,14.3,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,
Jordan Henderson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,N,CM,28.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,13.0,5.0,38.5,4.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Jordan Henderson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y*,CM,87.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.0,5.0,31.3,4.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,
