name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Sadio Mané,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,LW,90.0,56.0,1.0,5.0,31.0,24.0,7.0,56.0,3.0,3.0,100.0,3.0,1.0,47.0,243.0,149.0,8.0,2.0,3.0,6.0,2.0,78.0,51.0,65.4,16.0,
Sadio Mané,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,LW,90.0,48.0,0.0,3.0,21.0,24.0,10.0,47.0,0.0,2.0,0.0,0.0,0.0,37.0,181.0,73.0,3.0,0.0,1.0,3.0,4.0,65.0,43.0,66.2,14.0,
Alisson,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,GK,90.0,33.0,27.0,32.0,1.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,17.0,47.0,24.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Alisson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,GK,90.0,53.0,44.0,52.0,1.0,0.0,0.0,45.0,1.0,1.0,100.0,1.0,0.0,28.0,85.0,63.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,100.0,0.0,
Alisson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,GK,90.0,26.0,22.0,25.0,1.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,15.0,49.0,28.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Alisson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,GK,90.0,43.0,31.0,43.0,0.0,0.0,0.0,37.0,0.0,0.0,,0.0,0.0,27.0,81.0,41.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,100.0,0.0,
Alisson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,GK,90.0,36.0,32.0,36.0,0.0,0.0,0.0,28.0,0.0,0.0,,0.0,0.0,13.0,48.0,22.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,
Alisson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,GK,90.0,33.0,25.0,33.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,14.0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Alisson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,GK,90.0,57.0,49.0,56.0,1.0,0.0,0.0,45.0,0.0,0.0,,0.0,0.0,30.0,113.0,44.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,100.0,0.0,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,GK,90.0,32.0,22.0,32.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,14.0,68.0,41.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Alisson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,GK,90.0,43.0,37.0,43.0,0.0,0.0,0.0,39.0,0.0,0.0,,0.0,0.0,23.0,83.0,41.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,100.0,0.0,
Alisson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,GK,90.0,28.0,19.0,27.0,1.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,15.0,61.0,28.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,
Alisson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,GK,90.0,73.0,56.0,73.0,0.0,0.0,0.0,68.0,0.0,0.0,,0.0,0.0,61.0,180.0,102.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,100.0,0.0,
Alisson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,GK,90.0,53.0,43.0,53.0,0.0,0.0,0.0,48.0,0.0,0.0,,0.0,0.0,35.0,146.0,83.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,96.0,0.0,
Alisson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,GK,90.0,42.0,35.0,42.0,0.0,0.0,0.0,36.0,0.0,0.0,,0.0,0.0,26.0,78.0,42.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,0.0,
Trent Alexander-Arnold,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RB,90.0,68.0,3.0,14.0,26.0,30.0,1.0,48.0,1.0,5.0,20.0,1.0,0.0,37.0,184.0,122.0,5.0,2.0,0.0,0.0,1.0,34.0,32.0,94.1,8.0,
Trent Alexander-Arnold,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RB,90.0,96.0,4.0,29.0,30.0,41.0,6.0,81.0,2.0,2.0,100.0,2.0,0.0,52.0,249.0,148.0,6.0,0.0,2.0,0.0,2.0,66.0,60.0,90.9,4.0,
Trent Alexander-Arnold,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RB,90.0,108.0,2.0,15.0,50.0,51.0,4.0,97.0,0.0,0.0,,0.0,0.0,71.0,363.0,210.0,13.0,3.0,1.0,1.0,1.0,80.0,77.0,96.3,2.0,
Trent Alexander-Arnold,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RB,90.0,73.0,4.0,17.0,31.0,29.0,2.0,51.0,1.0,2.0,50.0,1.0,0.0,35.0,177.0,84.0,3.0,1.0,0.0,0.0,0.0,38.0,33.0,86.8,5.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,RB,90.0,115.0,4.0,25.0,55.0,41.0,0.0,98.0,0.0,1.0,0.0,0.0,0.0,72.0,243.0,131.0,7.0,5.0,0.0,1.0,0.0,78.0,73.0,93.6,1.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RB,64.0,91.0,1.0,15.0,50.0,30.0,0.0,77.0,0.0,0.0,,0.0,0.0,56.0,169.0,98.0,5.0,2.0,0.0,0.0,3.0,64.0,62.0,96.9,1.0,
Trent Alexander-Arnold,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RB,90.0,112.0,0.0,11.0,89.0,15.0,2.0,103.0,0.0,0.0,,0.0,0.0,63.0,201.0,105.0,3.0,1.0,0.0,1.0,0.0,92.0,91.0,98.9,1.0,
Trent Alexander-Arnold,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,RB,90.0,107.0,5.0,34.0,45.0,33.0,2.0,89.0,1.0,1.0,100.0,1.0,0.0,68.0,289.0,155.0,7.0,2.0,1.0,0.0,0.0,75.0,73.0,97.3,4.0,
Trent Alexander-Arnold,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RB,90.0,94.0,1.0,18.0,43.0,35.0,5.0,78.0,0.0,0.0,,0.0,0.0,48.0,170.0,91.0,4.0,1.0,0.0,2.0,0.0,62.0,58.0,93.5,9.0,
Trent Alexander-Arnold,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RB,90.0,71.0,0.0,10.0,34.0,27.0,3.0,55.0,1.0,1.0,100.0,1.0,0.0,50.0,147.0,69.0,2.0,0.0,1.0,1.0,0.0,48.0,45.0,93.8,2.0,
