name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Harry Kane,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,AM,90.0,42.0,2.0,5.0,30.0,11.0,3.0,38.0,1.0,2.0,50.0,1.0,0.0,28.0,165.0,42.0,2.0,2.0,0.0,2.0,1.0,40.0,30.0,75.0,3.0,
Harry Kane,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,FW,90.0,25.0,1.0,3.0,12.0,11.0,4.0,22.0,0.0,1.0,0.0,0.0,0.0,12.0,71.0,17.0,0.0,1.0,0.0,2.0,1.0,37.0,18.0,48.6,2.0,
Harry Kane,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,FW,90.0,48.0,1.0,4.0,28.0,19.0,8.0,47.0,1.0,4.0,25.0,1.0,0.0,31.0,155.0,99.0,6.0,2.0,2.0,4.0,1.0,70.0,35.0,50.0,5.0,
Harry Kane,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,FW,90.0,32.0,0.0,1.0,16.0,16.0,5.0,31.0,1.0,2.0,50.0,1.0,0.0,20.0,93.0,53.0,2.0,0.0,0.0,1.0,1.0,61.0,28.0,45.9,5.0,
Harry Kane,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,FW,90.0,33.0,0.0,2.0,12.0,23.0,3.0,32.0,2.0,4.0,50.0,2.0,0.0,24.0,97.0,14.0,1.0,1.0,1.0,0.0,2.0,48.0,26.0,54.2,8.0,
Harry Kane,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,FW,90.0,33.0,0.0,1.0,19.0,15.0,4.0,26.0,0.0,0.0,,0.0,0.0,17.0,113.0,64.0,1.0,1.0,1.0,3.0,0.0,33.0,18.0,54.5,4.0,
Harry Kane,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,FW,90.0,44.0,0.0,6.0,21.0,19.0,2.0,43.0,1.0,2.0,50.0,1.0,1.0,32.0,101.0,47.0,4.0,1.0,0.0,2.0,2.0,68.0,36.0,52.9,7.0,
Harry Kane,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,FW,90.0,45.0,3.0,6.0,28.0,16.0,6.0,43.0,3.0,6.0,50.0,4.0,0.0,32.0,222.0,98.0,5.0,4.0,0.0,2.0,2.0,50.0,33.0,66.0,10.0,
Lucas Moura,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,RW,90.0,56.0,3.0,7.0,34.0,19.0,5.0,56.0,4.0,8.0,50.0,5.0,0.0,35.0,204.0,141.0,7.0,3.0,0.0,0.0,3.0,45.0,32.0,71.1,4.0,
Lucas Moura,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,RW,66.0,27.0,1.0,5.0,16.0,9.0,0.0,27.0,0.0,0.0,,0.0,0.0,15.0,49.0,13.0,1.0,1.0,0.0,4.0,1.0,34.0,17.0,50.0,0.0,
Lucas Moura,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,N,RW,23.0,21.0,0.0,2.0,10.0,11.0,3.0,21.0,1.0,3.0,33.3,1.0,0.0,15.0,75.0,59.0,3.0,0.0,2.0,0.0,1.0,19.0,16.0,84.2,2.0,
Lucas Moura,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,"FW,AM",90.0,41.0,1.0,4.0,28.0,13.0,1.0,40.0,3.0,4.0,75.0,3.0,0.0,30.0,107.0,80.0,4.0,3.0,0.0,3.0,2.0,42.0,29.0,69.0,4.0,
Lucas Moura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
