name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
Lucas Moura,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,RW,90.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,RW,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,N,RW,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,"FW,AM",90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Moura,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,RW,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,RW,88.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,RW,90.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,RW,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,RW,53.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,AM,70.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas Moura,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,RW,87.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,DM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,N,DM,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,N,DM,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,DM,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,DM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,DM,65.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oliver Skipp,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,DM,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Emerson,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Emerson,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,RB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
