name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Bernardo Silva,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,CM,90.0,69.0,3.0,20.0,40.0,20.0,1.0,69.0,3.0,5.0,60.0,4.0,0.0,41.0,272.0,182.0,10.0,4.0,1.0,0.0,1.0,58.0,47.0,81.0,1.0,
Bernardo Silva,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,CM,89.0,82.0,4.0,20.0,32.0,35.0,15.0,80.0,2.0,3.0,66.7,2.0,0.0,54.0,353.0,170.0,12.0,1.0,4.0,1.0,1.0,75.0,64.0,85.3,9.0,
Bernardo Silva,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,"CM,AM",90.0,59.0,1.0,9.0,29.0,26.0,3.0,58.0,5.0,7.0,71.4,6.0,0.0,44.0,343.0,216.0,8.0,4.0,0.0,2.0,2.0,49.0,41.0,83.7,3.0,
Bernardo Silva,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"CM,DM",90.0,78.0,1.0,11.0,43.0,33.0,8.0,76.0,1.0,1.0,100.0,1.0,0.0,63.0,470.0,299.0,20.0,5.0,4.0,1.0,1.0,66.0,60.0,90.9,5.0,
Bernardo Silva,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,FW,90.0,81.0,0.0,6.0,50.0,33.0,4.0,79.0,3.0,4.0,75.0,3.0,0.0,58.0,324.0,167.0,9.0,3.0,3.0,3.0,0.0,82.0,69.0,84.1,7.0,
Bernardo Silva,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,CM,90.0,92.0,1.0,10.0,42.0,44.0,7.0,91.0,2.0,2.0,100.0,2.0,0.0,79.0,441.0,255.0,15.0,4.0,0.0,1.0,2.0,80.0,79.0,98.8,12.0,
Bernardo Silva,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,"CM,FW",90.0,76.0,1.0,7.0,38.0,35.0,6.0,75.0,1.0,1.0,100.0,1.0,0.0,61.0,347.0,194.0,13.0,1.0,0.0,2.0,2.0,76.0,63.0,82.9,8.0,
Bernardo Silva,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,AM,90.0,50.0,1.0,6.0,17.0,31.0,7.0,46.0,1.0,4.0,25.0,3.0,1.0,37.0,171.0,118.0,7.0,3.0,0.0,2.0,2.0,54.0,39.0,72.2,10.0,
Rúben Dias,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,CB,90.0,62.0,6.0,22.0,44.0,1.0,1.0,61.0,0.0,0.0,,0.0,0.0,41.0,321.0,229.0,10.0,0.0,0.0,1.0,0.0,44.0,44.0,100.0,0.0,
Rúben Dias,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,CB,90.0,116.0,4.0,14.0,99.0,7.0,0.0,113.0,0.0,0.0,,0.0,0.0,99.0,613.0,362.0,20.0,1.0,0.0,0.0,0.0,104.0,103.0,99.0,0.0,
